sna,tot,lat,lng,流量,路徑
臺北遠企購物中心,26,25.02709,121.54902,69,05-28表格/臺北遠企購物中心.jpg
外交部外交及國際事務學院,17,25.0371,121.54839,35,05-28表格/外交部外交及國際事務學院.jpg
延平國宅,30,25.07894,121.51121,97,05-28表格/延平國宅.jpg
臺北市立圖書館大同分館,20,25.0741,121.51349,88,05-28表格/臺北市立圖書館大同分館.jpg
合昌宮,15,25.07717,121.50934,27,05-28表格/合昌宮.jpg
民族延平路口,14,25.06864,121.5107,202,05-28表格/民族延平路口.jpg
重慶酒泉街口,14,25.07158,121.51368,108,05-28表格/重慶酒泉街口.jpg
樹德公園,14,25.06647,121.5165,150,05-28表格/樹德公園.jpg
陳天來故居,18,25.05601,121.50895,302,05-28表格/陳天來故居.jpg
臺北孔廟,20,25.07378,121.51583,168,05-28表格/臺北孔廟.jpg
捷運圓山站(1號出口),44,25.07133,121.52024,485,05-28表格/捷運圓山站(1號出口).jpg
酒泉延平路口,15,25.0722,121.51057,47,05-28表格/酒泉延平路口.jpg
重慶國中,37,25.07567,121.51862,56,05-28表格/重慶國中.jpg
重慶北路三段383巷口,15,25.07598,121.51409,25,05-28表格/重慶北路三段383巷口.jpg
台北數位產業園區,24,25.07447,121.52003,85,05-28表格/台北數位產業園區.jpg
民權延平路口(西北側),20,25.06326,121.51099,97,05-28表格/民權延平路口(西北側).jpg
民權迪化街口,23,25.06327,121.50943,135,05-28表格/民權迪化街口.jpg
大稻埕公園,19,25.05915,121.51033,226,05-28表格/大稻埕公園.jpg
大龍老人住宅,14,25.06853,121.51729,76,05-28表格/大龍老人住宅.jpg
大龍峒社會住宅,20,25.0708,121.51826,85,05-28表格/大龍峒社會住宅.jpg
捷運大橋頭站(2號出口),21,25.06314,121.51308,202,05-28表格/捷運大橋頭站(2號出口).jpg
捷運大橋頭站(1A出口),18,25.06325,121.51162,114,05-28表格/捷運大橋頭站(1A出口).jpg
捷運民權西路站(2號出口),25,25.06174,121.51969,52,05-28表格/捷運民權西路站(2號出口).jpg
捷運雙連站(2號出口),31,25.05826,121.52063,338,05-28表格/捷運雙連站(2號出口).jpg
捷運北門站(3號出口),48,25.04991,121.5104,328,05-28表格/捷運北門站(3號出口).jpg
朝陽公園,10,25.05592,121.51367,104,05-28表格/朝陽公園.jpg
永樂市場,14,25.05454,121.51052,315,05-28表格/永樂市場.jpg
大龍公園,18,25.07049,121.51596,112,05-28表格/大龍公園.jpg
重慶涼州街口,13,25.06054,121.51338,63,05-28表格/重慶涼州街口.jpg
圓環站,21,25.05369,121.51418,274,05-28表格/圓環站.jpg
重慶民族路口,13,25.06853,121.51359,136,05-28表格/重慶民族路口.jpg
承德路三段8巷口,10,25.06407,121.51822,90,05-28表格/承德路三段8巷口.jpg
太原廣場,31,25.04925,121.51468,227,05-28表格/太原廣場.jpg
國順公園,20,25.06592,121.51014,102,05-28表格/國順公園.jpg
聯合醫院中興院區,13,25.05205,121.50818,79,05-28表格/聯合醫院中興院區.jpg
蔣渭水紀念公園,24,25.06011,121.51729,131,05-28表格/蔣渭水紀念公園.jpg
迪化休閒運動公園,12,25.07491,121.5115,54,05-28表格/迪化休閒運動公園.jpg
大同運動中心,16,25.06496,121.51608,85,05-28表格/大同運動中心.jpg
重慶保安街口(家樂福重慶店),20,25.05918,121.51373,184,05-28表格/重慶保安街口(家樂福重慶店).jpg
歸綏戲曲公園,20,25.05805,121.51353,107,05-28表格/歸綏戲曲公園.jpg
民權國中(民權西路),17,25.06322,121.5144,64,05-28表格/民權國中(民權西路).jpg
